id,name,address,suburb,postcode,section_id,category,priority,status,phone,website,lat,lng,notes,visit_notes,source,rating,place_id,updated_at,google_maps_url
70ce6fdd4db6a6f0,The Corner Deli,229 High Street Ashburton VIC 3147,Ashburton,3147,inner-east,deli,medium,prospect,+61 3 9985 1808,,-37.8631005,145.0780847,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:41:52.816799+00:00,https://www.google.com/maps/search/?api=1&query=The+Corner+Deli+229+High+Street+Ashburton+VIC+3147+Melbourne
1f3351cecd02979a,The Fermentary,394 Queens Parade VIC 3068,,3068,inner-east,deli,medium,prospect,,https://www.thefermentary.com.au/,-37.7874566,144.9921586,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:26.362509+00:00,https://www.google.com/maps/search/?api=1&query=The+Fermentary+394+Queens+Parade+VIC+3068+Melbourne
2cfab34686728e62,The Rustic Table Delicatessen & Cafe,VIC,,,inner-east,deli,medium,prospect,,,-37.8499983,145.0930784,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:22.260977+00:00,https://www.google.com/maps/search/?api=1&query=The+Rustic+Table+Delicatessen+%26+Cafe+VIC+Melbourne
442db402bf9ae7d3,The Source Bulk Foods Hawthorn,"670 Glenferrie Road, Hawthorn VIC 3122",Hawthorn,3122,inner-east,bulk / wholefoods,medium,prospect,,https://www.thesourcebulkfoods.com.au,-37.8228,145.0352,Bulk wholefoods chain — check spice range & buyer,,seed,,,2026-09-17T13:41:19.001823+00:00,https://www.google.com/maps/search/?api=1&query=The+Source+Bulk+Foods+Hawthorn+670+Glenferrie+Road%2C+Hawthorn+VIC+3122+Melbourne
584fe2e8a3b82256,Top Shelf Fruits,225 High Street Ashburton VIC 3147,Ashburton,3147,inner-east,greengrocer,medium,prospect,+61 3 9885 2242,,-37.8630815,145.0779546,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:41:52.739112+00:00,https://www.google.com/maps/search/?api=1&query=Top+Shelf+Fruits+225+High+Street+Ashburton+VIC+3147+Melbourne
7edcb971eefa1dea,Toscano's,VIC,,,inner-east,greengrocer,medium,prospect,,,-37.8060227,145.0325457,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:10.497623+00:00,https://www.google.com/maps/search/?api=1&query=Toscano%27s+VIC+Melbourne
cd58fbc4a320410b,Viva La Fruit,VIC,,,inner-east,greengrocer,medium,prospect,,,-37.7916066,145.0937848,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:41:55.572933+00:00,https://www.google.com/maps/search/?api=1&query=Viva+La+Fruit+VIC+Melbourne
fffeff24fdecbf0b,Windsor Deli,33 Hornby Street VIC,,,inner-east,deli,medium,prospect,,,-37.8550654,144.9958581,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:06.591309+00:00,https://www.google.com/maps/search/?api=1&query=Windsor+Deli+33+Hornby+Street+VIC+Melbourne
113e59a0f4724f85,Camberwell Fresh Food Market,"19 Station Street, Camberwell VIC 3124",Camberwell,3124,inner-east,fresh food market / wholesale precinct,high,prospect,,,-37.8264,145.0586,Fresh food / wholesale precinct,,seed,,,2026-09-17T13:41:17.518343+00:00,https://www.google.com/maps/search/?api=1&query=Camberwell+Fresh+Food+Market+19+Station+Street%2C+Camberwell+VIC+3124+Melbourne
7011052e12c52282,Camberwell Fresh Food Market / Wholesale area,"Camberwell Road / Market precinct, Camberwell VIC 3124",Camberwell,3124,inner-east,fresh food / wholesale precinct,high,prospect,,,-37.8305,145.0575,Wholesale / fresh food precinct — verify stalls & buyers,,seed,,,2026-09-17T13:38:26.057906+00:00,https://www.google.com/maps/search/?api=1&query=Camberwell+Fresh+Food+Market+%2F+Wholesale+area+Camberwell+Road+%2F+Market+precinct%2C+Camberwell+VIC+3124+Melbourne
e586a229ab7b2e47,Camberwell Junction specialty & deli strip,"Burke Road / Camberwell Road, Camberwell VIC 3124",Camberwell,3124,inner-east,gourmet strip,high,prospect,,,-37.8305,145.0575,Walk Junction for delis & specialty,,seed,,,2026-09-17T13:41:20.250830+00:00,https://www.google.com/maps/search/?api=1&query=Camberwell+Junction+specialty+%26+deli+strip+Burke+Road+%2F+Camberwell+Road%2C+Camberwell+VIC+3124+Melbourne
258e9b8375cedaac,Malvern / Glenferrie Rd South specialty,"Glenferrie Road, Malvern VIC 3144",Malvern,3144,inner-east,gourmet strip,high,prospect,,,-37.8465,145.0285,Premium inner-east strip,,seed,,,2026-09-17T13:41:20.115174+00:00,https://www.google.com/maps/search/?api=1&query=Malvern+%2F+Glenferrie+Rd+South+specialty+Glenferrie+Road%2C+Malvern+VIC+3144+Melbourne
3fac06368f62f3d6,Terra Madre,"113 Cotham Road, Kew VIC 3101",Kew,3101,inner-east,gourmet / specialty foods,high,prospect,,https://www.terramadre.com.au,-37.8075,145.0365,Premium specialty foods — core Nature's Pinch example,,seed,,,2026-09-17T13:41:17.450878+00:00,https://www.google.com/maps/search/?api=1&query=Terra+Madre+113+Cotham+Road%2C+Kew+VIC+3101+Melbourne
30fb66f1d57cfec1,Toorak Village specialty foods,"Toorak Road, Toorak VIC 3142",Toorak,3142,inner-east,gourmet strip,high,prospect,,,-37.8405,145.0155,High-end independents,,seed,,,2026-09-17T13:41:20.160347+00:00,https://www.google.com/maps/search/?api=1&query=Toorak+Village+specialty+foods+Toorak+Road%2C+Toorak+VIC+3142+Melbourne
